player,x,y
harrykane,0.526141548752392,0.7604605661409957
trentarnold66,0.30017674345666256,0.05685548765444482
sterling7,-0.4859471972740585,-0.3997920446805387
kylewalker2,0.24796022618302851,0.8924012957193737
philfoden,0.8424904825375982,0.05429507238487826
reecejames,-0.11071759392038429,0.14151757063903342
jackgrealish,-0.10790155443311734,0.9417821354119701
ktrippier2,-0.2559080892414327,-0.837787982880482
declanrice,-0.5905040569921404,0.7683953158788794
madders,0.017108553050156735,-0.6684599209930963
bukayosaka87,-0.617201556173497,-0.6825912416307854
masonmount,0.021514466225687638,-0.21099998075630355
andyrobertson94,-0.6572452870881665,0.38056260602016306
johnstonesofficial,-1.0,0.10770580457453122
vardy7,-0.23689672199389084,0.6012212941164271
aaronramsdale,-0.8700376603797936,-0.26982138836578984
benchilwell,0.5505245230014595,-0.4259921616643169
jpickford1,0.8439036592476918,-0.2981519305492419
jhenderson,0.6394284043200481,-0.7667038436788515
joegomez5,0.41934831290752933,0.3371373335564671
kalvinphillips,-0.5860390779480422,0.01957421931507113
marcusrashford,0.27424276869262376,-0.8593751941168789
awbissaka,0.8355591070696451,0.35776698790404976
