player,x,y
harrykane,0.1837462380040438,1.0
trentarnold66,0.12073752230130057,-0.5636286814538514
sterling7,0.13993388911267116,-0.9840301326369161
kylewalker2,0.5628030774546012,-0.8106551419064374
philfoden,-0.27825770428731716,-0.9100282153779354
reecejames,-0.4709243230072384,0.4010461352272537
jackgrealish,0.0466742058858482,-0.09204840517483559
ktrippier2,-0.01997649231218549,0.39118256401831947
declanrice,0.6881880681506173,0.7400238096380695
madders,0.3365733441321303,0.6230389541959691
bukayosaka87,0.8673578368796605,0.37428634416344136
masonmount,0.9581035101544765,-0.010506116476391564
andyrobertson94,-0.583118687487164,0.8106049258630273
johnstonesofficial,0.5359952761167208,-0.37384683585220413
vardy7,-0.19715086415550737,0.8777398408438597
aaronramsdale,-0.9367697322496416,-0.3709123064551194
benchilwell,-0.48221052505953743,-0.05145540521734535
jpickford1,-0.704780135437673,-0.753745988223935
jhenderson,0.9333679719713953,-0.430450252072573
joegomez5,-0.3724489733712341,-0.47114925015981435
kalvinphillips,-0.9339755519537788,0.03577456704022037
marcusrashford,0.5012445922660238,0.11973355592214091
awbissaka,-0.8951125431082138,0.44902603409506564
