player,x,y
harrykane,-0.4521504261866829,-0.28235132802694163
trentarnold66,-0.20012403832792708,0.6540415529099407
sterling7,-0.028185424675338022,1.0
kylewalker2,-0.9128671514538086,-0.2240854182764292
philfoden,0.6175173473283008,-0.8179855231636004
reecejames,-0.04011560508404506,0.22935442404432302
jackgrealish,-0.961312218198042,0.15890867653275698
ktrippier2,0.1979637864281619,-0.8477668704638227
declanrice,-0.7864792030687461,-0.6090162121776506
madders,-0.8027490524139302,0.5282584084334683
bukayosaka87,-0.540742314660511,0.8401647756078578
masonmount,0.8968239453745607,0.3346319308390514
andyrobertson94,0.3768421952737368,0.4105288654646415
johnstonesofficial,-0.4458381819532351,-0.7951453506778025
vardy7,0.42003589292942545,-0.041676913083655995
aaronramsdale,-0.04612158698530693,-0.39433956810156656
benchilwell,0.7098537768441733,0.6886415339266257
jpickford1,0.45149707218833046,-0.4761617602415245
jhenderson,0.8905727816289751,-0.411198730966056
joegomez5,0.3492896406746613,0.8852376497014264
kalvinphillips,0.9340059467374325,-0.029873299836044524
marcusrashford,-0.4976185320373506,0.1934638037450793
awbissaka,-0.13009865036283583,-0.9936306461900829
